,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0,5 liter draught)","Imported Beer (0,33 liter bottle)","Coke/Pepsi (0,33 liter bottle)","Water (0,33 liter bottle) ","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),"Water (1,5 liter bottle)",Bottle of Wine (Mid-Range),"Domestic Beer (0,5 liter bottle)","Imported Beer (0,33 liter bottle)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min, of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ,,,)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),"Toyota Corolla 1,6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Beijing, China","3,91 €","26,04 €","4,56 €","1,95 €","3,06 €","0,47 €","0,30 €","1,70 €","1,60 €","1,68 €","15,07 €","0,56 €","13,02 €","0,69 €","1,89 €","2,60 €","0,52 €","3,15 €","24,74 €","0,93 €","18.230,92 €","946,89 €","575,19 €","1.986,46 €","1.223,57 €","55,03 €","0,03 €","12,43 €","42,04 €","15,95 €","6,51 €","61,02 €","32,26 €","69,56 €","89,59 €","13.398,23 €","6.701,37 €","1.137,26 €","5,14 €","1,69 €","0,30 €","5,21 €","1,70 €","1,60 €","0,69 €","0,62 €","3,99 €","1,13 €","1,05 €","1,28 €","0,67 €","7,69 €","15.336,76 €","625,68 €","20.125,06 €"
"Tirana, Albania","4,10 €","24,62 €","4,76 €","1,27 €","2,00 €","1,07 €","0,54 €","1,07 €","0,61 €","1,47 €","5,45 €","0,44 €","6,57 €","0,77 €","1,14 €","2,63 €","0,33 €","4,18 €","13,13 €","1,46 €","16.413,03 €","296,37 €","175,58 €","578,83 €","326,01 €","68,27 €","0,21 €","19,18 €","29,49 €","10,28 €","4,92 €","40,27 €","31,76 €","71,81 €","85,26 €","1.650,37 €","726,22 €","336,43 €","5,19 €","2,05 €","2,00 €","12,31 €","0,89 €","1,06 €","0,66 €","0,78 €","1,20 €","1,09 €","0,90 €","1,32 €","0,66 €","6,89 €","17.174,10 €","127,15 €","2.323,77 €"
"Nairobi, Kenya","4,43 €","26,58 €","6,20 €","2,04 €","2,66 €","0,53 €","0,45 €","0,94 €","0,52 €","1,55 €","7,57 €","1,11 €","8,86 €","1,86 €","2,55 €","2,22 €","0,71 €","6,07 €","26,58 €","0,99 €","14.620,32 €","383,88 €","170,65 €","832,14 €","403,17 €","46,90 €","0,03 €","51,91 €","45,40 €","6,81 €","7,09 €","22,49 €","23,63 €","54,02 €","46,33 €","2.703,78 €","727,85 €","327,85 €","13,86 €","2,22 €","1,77 €","1,77 €","2,37 €","1,75 €","1,23 €","0,74 €","2,27 €","1,67 €","1,20 €","1,06 €","1,03 €","4,60 €","13.240,85 €","176,06 €","9.069,26 €"
"Casablanca, Morocco","4,45 €","20,63 €","5,16 €","2,58 €","2,81 €","0,46 €","0,30 €","0,67 €","0,84 €","1,20 €","7,19 €","0,54 €","7,97 €","2,08 €","2,03 €","3,28 €","0,47 €","4,39 €","21,57 €","0,97 €","20.632,89 €","386,18 €","180,27 €","793,74 €","383,51 €","35,74 €","0,13 €","31,63 €","24,49 €","15,63 €","5,63 €","44,09 €","34,81 €","73,19 €","77,22 €","1.769,77 €","875,41 €","405,70 €","4,87 €","0,70 €","0,68 €","4,11 €","1,33 €","0,52 €","0,46 €","0,34 €","1,51 €","1,09 €","0,44 €","1,21 €","0,52 €","7,43 €","19.226,10 €","142,24 €","4.031,18 €"
"Kharkiv, Ukraine","4,50 €","18,76 €","3,75 €","0,88 €","1,29 €","0,38 €","0,29 €","0,85 €","0,41 €","1,00 €","6,47 €","0,40 €","3,75 €","0,66 €","1,18 €","1,43 €","0,30 €","3,48 €","11,42 €","1,09 €","22.507,19 €","346,56 €","217,86 €","615,91 €","392,63 €","117,46 €","0,03 €","5,57 €","18,58 €","8,27 €","3,75 €","64,99 €","42,65 €","90,65 €","105,76 €","961,38 €","525,36 €","337,40 €","19,10 €","1,50 €","0,26 €","3,38 €","0,56 €","1,08 €","0,38 €","0,68 €","1,03 €","0,97 €","0,95 €","0,98 €","0,39 €","4,84 €","21.067,14 €","176,48 €","2.033,83 €"
"Shanghai, China","4,56 €","26,04 €","4,56 €","1,30 €","2,93 €","0,56 €","0,33 €","2,39 €","1,76 €","2,30 €","13,48 €","0,61 €","15,63 €","0,66 €","2,01 €","2,73 €","0,52 €","4,40 €","26,04 €","0,92 €","18.230,92 €","970,31 €","477,33 €","2.220,70 €","1.159,18 €","51,70 €","0,03 €","14,26 €","44,90 €","11,80 €","7,81 €","60,73 €","33,00 €","82,77 €","97,81 €","12.057,49 €","6.130,48 €","1.111,52 €","5,08 €","1,82 €","0,39 €","4,69 €","2,19 €","2,08 €","1,00 €","0,58 €","3,82 €","1,13 €","1,33 €","1,56 €","1,01 €","12,53 €","17.412,39 €","676,74 €","22.470,47 €"
"Istanbul, Turkey","4,58 €","15,28 €","3,82 €","3,06 €","3,06 €","0,64 €","0,24 €","0,71 €","0,36 €","1,62 €","5,32 €","0,33 €","7,64 €","1,79 €","2,48 €","2,75 €","0,41 €","3,50 €","31,32 €","1,05 €","24.443,15 €","291,55 €","177,72 €","545,50 €","314,98 €","59,33 €","0,11 €","14,20 €","25,10 €","15,66 €","3,82 €","36,15 €","25,91 €","61,31 €","50,58 €","1.315,18 €","657,05 €","436,00 €","19,08 €","0,76 €","0,47 €","3,59 €","0,85 €","0,86 €","0,59 €","0,61 €","1,84 €","1,30 €","0,80 €","1,91 €","0,62 €","9,73 €","20.874,72 €","282,94 €","6.905,43 €"
"Tbilisi, Georgia","4,67 €","18,69 €","4,05 €","0,93 €","1,25 €","0,39 €","0,18 €","0,97 €","0,28 €","1,12 €","3,38 €","0,36 €","4,36 €","0,72 €","1,02 €","1,56 €","0,16 €","2,82 €","9,34 €","0,78 €","9.343,00 €","306,63 €","184,31 €","625,77 €","348,41 €","52,69 €","0,08 €","14,09 €","30,29 €","8,55 €","4,49 €","52,06 €","29,84 €","73,33 €","82,53 €","950,35 €","506,92 €","248,07 €","12,37 €","0,93 €","0,23 €","1,56 €","0,74 €","0,98 €","0,38 €","0,42 €","1,40 €","0,91 €","0,86 €","1,13 €","0,37 €","5,23 €","11.163,69 €","97,73 €","1.914,46 €"
"Chisinau, Moldova","4,67 €","20,74 €","4,15 €","1,04 €","1,43 €","0,64 €","0,44 €","0,68 €","0,33 €","1,11 €","5,79 €","0,59 €","3,61 €","0,77 €","1,38 €","1,56 €","0,10 €","3,55 €","9,33 €","0,98 €","16.335,12 €","244,49 €","177,96 €","428,67 €","330,84 €","113,46 €","0,07 €","8,58 €","26,64 €","12,10 €","5,19 €","56,54 €","35,37 €","86,25 €","94,38 €","904,82 €","589,13 €","286,95 €","9,42 €","1,30 €","0,18 €","3,11 €","0,70 €","1,22 €","0,56 €","0,84 €","1,25 €","0,93 €","1,56 €","1,37 €","0,59 €","5,37 €","17.238,13 €","210,52 €","2.679,30 €"
"Yerevan, Armenia","4,70 €","22,54 €","4,60 €","1,13 €","1,69 €","0,60 €","0,34 €","0,82 €","0,43 €","1,44 €","4,29 €","0,44 €","5,64 €","0,75 €","1,23 €","1,13 €","0,19 €","4,17 €","11,27 €","0,83 €","16.043,44 €","320,04 €","170,55 €","664,25 €","313,63 €","60,06 €","0,03 €","14,09 €","43,14 €","11,31 €","4,70 €","51,80 €","37,56 €","73,47 €","69,20 €","1.383,05 €","714,57 €","295,66 €","11,59 €","1,13 €","0,19 €","2,25 €","0,90 €","1,07 €","0,44 €","0,37 €","1,95 €","1,08 €","0,71 €","1,20 €","0,50 €","5,96 €","19.843,59 €","141,66 €","3.020,37 €"
"Lodz, Poland","4,72 €","23,61 €","4,25 €","1,77 €","1,65 €","0,99 €","0,79 €","0,55 €","0,61 €","1,76 €","5,53 €","0,44 €","4,72 €","0,69 €","1,00 €","3,78 €","0,66 €","3,77 €","21,25 €","1,17 €","18.558,88 €","362,66 €","280,88 €","593,51 €","473,31 €","172,01 €","0,06 €","12,53 €","26,35 €","10,48 €","5,90 €","57,47 €","26,98 €","63,26 €","63,83 €","1.351,78 €","1.069,61 €","689,44 €","3,77 €","1,42 €","0,47 €","8,50 €","0,66 €","1,07 €","0,49 €","0,70 €","1,73 €","0,82 €","1,35 €","0,98 €","0,82 €","7,20 €","17.681,61 €","230,29 €","3.407,97 €"
"Almaty, Kazakhstan","4,77 €","23,84 €","3,81 €","1,07 €","1,43 €","0,40 €","0,31 €","0,75 €","0,24 €","0,90 €","5,87 €","0,42 €","4,77 €","0,56 €","1,10 €","0,95 €","0,19 €","3,12 €","17,16 €","0,39 €","15.494,56 €","288,22 €","178,04 €","565,15 €","357,57 €","58,48 €","0,03 €","10,47 €","39,41 €","9,43 €","3,58 €","44,78 €","38,14 €","74,49 €","86,52 €","1.119,15 €","691,71 €","374,42 €","15,40 €","0,95 €","0,35 €","2,62 €","1,04 €","1,40 €","0,37 €","1,25 €","1,78 €","0,80 €","1,09 €","1,23 €","0,28 €","5,49 €","17.285,46 €","153,08 €","4.428,44 €"
"Mexico City, Mexico","4,77 €","23,86 €","4,77 €","1,91 €","2,86 €","0,61 €","0,47 €","0,91 €","1,44 €","1,36 €","4,93 €","0,66 €","7,16 €","1,08 €","2,15 €","2,48 €","0,29 €","4,41 €","14,32 €","0,98 €","16.702,48 €","550,18 €","342,38 €","1.139,78 €","734,62 €","30,09 €","0,06 €","26,34 €","49,56 €","16,17 €","3,82 €","41,62 €","32,29 €","73,85 €","72,78 €","2.188,90 €","1.438,46 €","596,30 €","11,28 €","0,62 €","0,29 €","4,94 €","1,93 €","0,82 €","1,07 €","0,76 €","2,00 €","0,95 €","1,05 €","0,95 €","1,13 €","6,90 €","14.844,85 €","211,05 €","4.721,73 €"
"Novi Sad, Serbia","4,84 €","17,85 €","4,42 €","1,50 €","1,80 €","1,15 €","0,78 €","0,76 €","0,43 €","1,24 €","4,62 €","0,43 €","4,04 €","0,56 €","0,99 €","2,72 €","0,55 €","4,30 €","20,00 €","1,34 €","20.402,08 €","262,40 €","195,75 €","451,15 €","302,16 €","122,93 €","0,09 €","19,30 €","22,89 €","6,02 €","3,40 €","61,05 €","31,26 €","71,99 €","82,88 €","1.569,73 €","1.090,36 €","439,58 €","3,49 €","0,85 €","0,48 €","4,25 €","0,71 €","1,09 €","0,49 €","0,39 €","1,11 €","1,03 €","0,88 €","1,10 €","0,51 €","5,87 €","17.816,21 €","167,10 €","2.644,23 €"
"Skopje, Macedonia","4,87 €","16,25 €","3,25 €","1,62 €","1,95 €","1,27 €","0,76 €","0,84 €","0,47 €","1,38 €","5,33 €","0,43 €","4,87 €","0,73 €","0,93 €","2,27 €","0,57 €","4,58 €","24,37 €","1,10 €","16.978,82 €","233,43 €","168,07 €","418,35 €","296,24 €","107,26 €","0,10 €","15,11 €","22,03 €","8,51 €","4,06 €","48,85 €","27,86 €","66,37 €","73,57 €","1.227,84 €","881,05 €","393,01 €","5,52 €","0,65 €","0,41 €","4,87 €","0,73 €","0,87 €","0,50 €","0,35 €","1,37 €","1,05 €","0,88 €","0,94 €","0,54 €","6,60 €","17.796,64 €","167,42 €","3.238,83 €"
"Podgorica, Montenegro","5,00 €","25,00 €","3,00 €","1,50 €","1,90 €","1,68 €","1,04 €","0,79 €","0,53 €","1,42 €","4,89 €","0,70 €","4,00 €","0,96 €","1,46 €","3,20 €","0,90 €","5,17 €","25,00 €","1,34 €","16.990,00 €","307,27 €","222,86 €","553,57 €","389,50 €","103,09 €","0,13 €","23,52 €","30,00 €","10,00 €","5,00 €","56,90 €","31,14 €","72,86 €","83,54 €","1.337,62 €","1.036,79 €","484,81 €","6,55 €","1,00 €","0,50 €","6,00 €","0,70 €","1,10 €","0,54 €","0,90 €","1,45 €","1,12 €","1,18 €","1,13 €","0,72 €","7,58 €","17.648,57 €","133,33 €","8.400,00 €"
"Santo Domingo, Dominican Republic","5,10 €","34,01 €","5,10 €","1,70 €","2,55 €","0,79 €","0,46 €","1,03 €","1,23 €","1,64 €","6,01 €","1,17 €","10,20 €","1,87 €","2,77 €","3,40 €","0,43 €","4,47 €","34,01 €","1,05 €","20.780,40 €","381,17 €","203,64 €","754,18 €","359,54 €","53,67 €","0,15 €","50,03 €","22,49 €","13,09 €","5,10 €","43,59 €","45,87 €","73,90 €","79,85 €","1.203,97 €","672,98 €","335,33 €","12,38 €","3,40 €","2,55 €","3,40 €","1,75 €","1,33 €","1,23 €","0,96 €","1,51 €","0,93 €","1,02 €","0,63 €","1,59 €","6,78 €","20.430,09 €","152,38 €","5.318,02 €"
"Plovdiv, Bulgaria","5,10 €","20,42 €","4,59 €","1,28 €","1,53 €","0,95 €","0,64 €","1,03 €","0,56 €","1,53 €","5,03 €","0,50 €","5,10 €","0,62 €","1,02 €","2,81 €","0,51 €","4,73 €","20,42 €","1,15 €","17.863,74 €","240,77 €","179,23 €","412,10 €","290,70 €","79,71 €","0,14 €","11,57 €","24,85 €","11,18 €","5,61 €","42,91 €","24,77 €","69,62 €","66,04 €","950,91 €","693,33 €","514,73 €","4,11 €","0,50 €","0,43 €","6,12 €","0,89 €","1,16 €","0,55 €","0,42 €","1,27 €","1,08 €","1,32 €","1,30 €","0,64 €","6,03 €","17.879,91 €","225,80 €","3.725,87 €"
"Cluj-Napoca, Romania","5,23 €","23,00 €","4,18 €","1,57 €","2,09 €","1,14 €","1,00 €","0,98 €","0,64 €","2,01 €","5,55 €","0,54 €","4,18 €","0,73 €","1,27 €","3,87 €","0,52 €","4,22 €","14,64 €","1,21 €","15.681,10 €","387,79 €","284,75 €","698,74 €","497,97 €","91,85 €","0,07 €","7,34 €","26,21 €","11,89 €","5,23 €","49,15 €","29,63 €","63,06 €","69,49 €","1.900,75 €","1.409,13 €","642,86 €","5,40 €","0,52 €","0,48 €","4,75 €","0,72 €","0,97 €","0,50 €","0,57 €","1,60 €","0,89 €","1,16 €","1,05 €","0,53 €","6,32 €","16.513,42 €","262,05 €","4.327,18 €"
"Timisoara, Romania","5,23 €","20,91 €","4,18 €","1,25 €","1,67 €","0,99 €","0,83 €","0,92 €","0,68 €","2,11 €","4,33 €","0,49 €","4,18 €","0,68 €","1,11 €","3,61 €","0,52 €","4,06 €","18,82 €","1,19 €","15.960,00 €","287,68 €","217,44 €","531,19 €","385,53 €","95,29 €","0,03 €","7,53 €","25,30 €","10,45 €","5,23 €","45,43 €","25,72 €","60,43 €","71,72 €","1.376,56 €","1.053,88 €","613,27 €","5,15 €","0,52 €","0,52 €","5,02 €","0,74 €","0,96 €","0,50 €","0,56 €","1,42 €","0,89 €","1,06 €","1,07 €","0,50 €","7,42 €","16.218,73 €","256,78 €","3.668,81 €"
"Iasi, Romania","5,23 €","20,93 €","4,19 €","1,26 €","1,88 €","1,16 €","0,92 €","0,90 €","0,54 €","1,97 €","4,74 €","0,53 €","4,19 €","0,81 €","1,30 €","3,77 €","0,52 €","4,21 €","16,74 €","1,19 €","15.697,62 €","272,07 €","202,65 €","479,23 €","338,90 €","115,11 €","0,07 €","6,80 €","28,32 €","8,57 €","5,02 €","52,92 €","31,39 €","56,20 €","63,36 €","1.293,58 €","882,21 €","529,52 €","5,14 €","0,52 €","0,52 €","5,23 €","0,76 €","1,02 €","0,53 €","0,57 €","1,48 €","0,95 €","1,08 €","1,08 €","0,63 €","6,17 €","16.999,32 €","216,07 €","3.218,01 €"
"Guadalajara, Mexico","5,25 €","23,86 €","4,25 €","1,43 €","2,39 €","0,66 €","0,51 €","0,87 €","1,35 €","1,25 €","4,09 €","0,73 €","7,16 €","0,82 €","1,48 €","2,48 €","0,43 €","4,65 €","18,67 €","1,00 €","16.535,22 €","309,42 €","186,98 €","634,96 €","388,33 €","22,64 €","0,06 €","27,53 €","24,59 €","9,71 €","3,58 €","40,80 €","29,70 €","68,04 €","57,71 €","1.016,15 €","922,24 €","498,68 €","11,24 €","1,43 €","0,46 €","7,16 €","1,96 €","1,02 €","1,00 €","0,73 €","1,99 €","1,04 €","0,98 €","0,94 €","1,03 €","6,88 €","15.579,09 €","145,75 €","2.826,61 €"
"Baku, Azerbaijan","5,27 €","23,73 €","4,22 €","0,84 €","2,11 €","0,37 €","0,21 €","0,83 €","0,26 €","1,03 €","3,54 €","0,43 €","4,75 €","0,76 €","1,94 €","2,11 €","0,16 €","2,92 €","9,63 €","0,49 €","15.558,40 €","290,07 €","157,97 €","608,91 €","299,45 €","42,65 €","0,03 €","15,51 €","30,43 €","16,73 €","3,69 €","43,59 €","40,16 €","93,36 €","76,12 €","1.307,40 €","647,53 €","294,03 €","8,21 €","0,84 €","0,32 €","1,58 €","0,69 €","1,26 €","0,46 €","0,42 €","2,15 €","1,05 €","0,83 €","1,22 €","0,39 €","6,15 €","18.564,59 €","208,84 €","5.657,01 €"
"Belgrade, Serbia","5,39 €","24,62 €","5,09 €","1,70 €","1,95 €","1,34 €","0,92 €","0,79 €","0,42 €","1,37 €","5,03 €","0,43 €","4,24 €","0,61 €","1,10 €","2,80 €","0,76 €","4,51 €","27,17 €","1,35 €","17.828,77 €","341,08 €","216,64 €","652,24 €","395,57 €","135,76 €","0,10 €","21,45 €","24,61 €","12,13 €","4,24 €","65,50 €","27,28 €","74,80 €","92,13 €","2.502,53 €","1.345,89 €","437,24 €","3,99 €","1,44 €","0,55 €","6,37 €","0,72 €","1,03 €","0,52 €","0,38 €","1,41 €","1,09 €","1,02 €","0,98 €","0,50 €","6,65 €","17.474,32 €","245,94 €","4.803,12 €"
"Kiev, Ukraine","5,63 €","22,51 €","3,75 €","1,13 €","1,80 €","0,58 €","0,45 €","0,93 €","0,58 €","1,13 €","7,07 €","0,49 €","3,75 €","0,75 €","1,32 €","1,65 €","0,30 €","3,92 €","12,19 €","1,12 €","21.608,29 €","589,81 €","340,80 €","988,82 €","560,35 €","98,74 €","0,04 €","5,11 €","20,92 €","11,48 €","4,31 €","64,03 €","40,73 €","98,26 €","110,43 €","1.652,80 €","802,55 €","516,75 €","19,52 €","1,69 €","0,26 €","3,00 €","0,59 €","1,11 €","0,50 €","0,85 €","1,17 €","1,04 €","1,57 €","1,06 €","0,55 €","5,65 €","20.758,91 €","254,74 €","7.483,60 €"
"Odessa, Ukraine","5,65 €","20,67 €","3,67 €","0,94 €","1,20 €","0,57 €","0,42 €","0,97 €","0,45 €","1,18 €","6,61 €","0,48 €","3,01 €","0,68 €","1,37 €","1,51 €","0,26 €","3,92 €","6,77 €","1,09 €","21.584,23 €","344,01 €","232,04 €","599,79 €","405,27 €","94,58 €","0,03 €","5,73 €","20,84 €","9,45 €","4,52 €","74,37 €","50,34 €","97,01 €","107,27 €","1.107,23 €","645,76 €","360,47 €","19,00 €","1,88 €","0,26 €","4,52 €","0,65 €","1,36 €","0,46 €","0,82 €","1,19 €","0,97 €","1,35 €","1,05 €","0,47 €","5,65 €","21.373,22 €","210,98 €","2.358,66 €"
"Novosibirsk, Russia","5,72 €","22,01 €","3,67 €","1,10 €","2,20 €","0,69 €","0,52 €","0,85 €","0,49 €","1,00 €","7,30 €","0,50 €","5,87 €","0,90 €","1,50 €","1,91 €","0,32 €","3,88 €","11,01 €","0,64 €","18.196,16 €","344,85 €","225,13 €","635,89 €","406,41 €","94,51 €","0,03 €","7,96 €","27,49 €","17,31 €","4,40 €","65,73 €","43,52 €","82,60 €","82,09 €","1.273,80 €","788,31 €","436,28 €","10,79 €","1,58 €","0,15 €","4,40 €","1,48 €","1,26 €","0,37 €","0,63 €","1,88 €","0,95 €","1,80 €","1,10 €","0,36 €","7,20 €","18.129,31 €","222,83 €","2.474,58 €"
"Monterrey, Mexico","5,75 €","23,94 €","4,31 €","1,68 €","2,39 €","0,69 €","0,54 €","0,91 €","1,51 €","1,60 €","5,20 €","0,79 €","9,58 €","0,94 €","1,41 €","2,49 €","0,57 €","4,72 €","17,96 €","0,97 €","16.424,20 €","342,55 €","207,90 €","757,86 €","461,34 €","49,81 €","0,05 €","25,84 €","34,28 €","10,37 €","3,59 €","40,51 €","28,55 €","66,70 €","61,59 €","1.021,06 €","632,67 €","695,46 €","10,25 €","0,67 €","0,38 €","7,18 €","2,14 €","1,01 €","1,21 €","0,79 €","2,28 €","0,87 €","1,23 €","0,88 €","1,44 €","6,01 €","14.421,34 €","198,98 €","4.080,55 €"
"Hong Kong, Hong Kong","5,78 €","46,26 €","4,05 €","5,78 €","5,78 €","1,01 €","0,90 €","2,54 €","1,84 €","2,75 €","19,15 €","1,57 €","13,88 €","1,54 €","2,18 €","6,82 €","1,16 €","9,24 €","56,96 €","1,96 €","28.915,30 €","2.041,88 €","1.405,71 €","4.516,75 €","2.823,07 €","176,27 €","0,08 €","21,61 €","68,37 €","7,45 €","11,57 €","70,72 €","30,29 €","79,41 €","115,84 €","27.720,21 €","17.532,98 €","2.387,66 €","2,56 €","2,78 €","0,98 €","11,80 €","3,07 €","2,73 €","2,09 €","1,36 €","4,15 €","1,82 €","2,82 €","2,06 €","2,13 €","14,93 €","25.340,81 €","640,36 €","16.701,41 €"
"Yekaterinburg, Russia","5,88 €","29,42 €","4,12 €","1,47 €","2,94 €","0,77 €","0,53 €","0,75 €","0,43 €","0,92 €","6,29 €","0,46 €","6,99 €","0,86 €","1,33 €","1,91 €","0,41 €","3,87 €","29,42 €","0,65 €","19.857,48 €","332,66 €","232,83 €","549,90 €","394,59 €","113,13 €","0,02 €","7,61 €","35,51 €","16,31 €","3,68 €","62,56 €","38,29 €","74,23 €","91,27 €","1.412,29 €","955,57 €","537,99 €","10,56 €","1,47 €","0,21 €","3,53 €","1,29 €","1,21 €","0,43 €","0,52 €","1,65 €","0,83 €","1,31 €","0,97 €","0,41 €","6,79 €","18.832,10 €","199,74 €","3.166,47 €"
"Poznan, Poland","5,90 €","23,61 €","4,72 €","2,01 €","2,36 €","0,92 €","0,71 €","0,63 €","0,70 €","1,87 €","5,60 €","0,39 €","4,72 €","0,72 €","1,00 €","3,74 €","0,94 €","3,61 €","26,70 €","1,20 €","18.558,88 €","443,21 €","351,37 €","742,09 €","582,42 €","155,60 €","0,06 €","11,62 €","22,13 €","11,00 €","5,90 €","72,06 €","30,29 €","63,96 €","76,16 €","2.021,62 €","1.409,71 €","791,94 €","4,03 €","1,42 €","0,57 €","7,08 €","0,69 €","1,11 €","0,53 €","0,71 €","2,06 €","0,72 €","1,43 €","0,96 €","0,67 €","7,11 €","17.368,45 €","197,95 €","3.659,83 €"
"Wroclaw, Poland","5,91 €","25,99 €","4,72 €","1,89 €","2,36 €","0,97 €","0,75 €","0,56 €","0,75 €","1,90 €","5,91 €","0,45 €","5,91 €","0,72 €","0,96 €","3,78 €","0,80 €","4,01 €","21,26 €","1,19 €","16.772,88 €","517,55 €","411,50 €","843,34 €","642,74 €","162,51 €","0,06 €","12,26 €","22,14 €","12,26 €","5,91 €","63,32 €","30,61 €","64,57 €","77,59 €","2.135,98 €","1.530,15 €","848,11 €","3,71 €","1,42 €","0,59 €","5,91 €","0,68 €","1,15 €","0,54 €","0,79 €","2,12 €","0,83 €","1,46 €","1,06 €","0,66 €","8,20 €","18.141,80 €","255,31 €","6.726,13 €"
"Krakow (Cracow), Poland","5,91 €","23,62 €","4,72 €","2,13 €","2,36 €","1,09 €","0,96 €","0,61 €","0,76 €","1,67 €","5,51 €","0,47 €","5,91 €","0,77 €","1,20 €","3,78 €","0,90 €","3,99 €","25,04 €","1,20 €","18.568,29 €","513,06 €","392,83 €","897,17 €","626,23 €","173,28 €","0,05 €","12,75 €","23,27 €","10,35 €","5,91 €","56,98 €","27,82 €","60,83 €","69,58 €","2.664,65 €","1.775,17 €","855,87 €","4,07 €","1,65 €","0,54 €","8,27 €","0,76 €","1,17 €","0,58 €","0,72 €","2,05 €","0,82 €","1,49 €","1,08 €","0,68 €","8,05 €","18.145,28 €","195,09 €","6.511,18 €"
"Gdansk, Poland","5,91 €","23,62 €","4,25 €","2,13 €","2,36 €","1,10 €","0,90 €","0,59 €","0,67 €","1,97 €","5,75 €","0,45 €","4,72 €","0,76 €","1,16 €","3,78 €","0,76 €","3,91 €","22,21 €","1,19 €","18.568,29 €","515,00 €","380,61 €","840,83 €","612,47 €","169,90 €","0,07 €","12,32 €","28,79 €","11,36 €","5,20 €","66,10 €","29,86 €","70,49 €","80,90 €","2.602,99 €","1.639,29 €","865,09 €","4,13 €","1,65 €","0,57 €","8,50 €","0,78 €","1,09 €","0,52 €","0,72 €","2,15 €","0,84 €","1,33 €","1,03 €","0,58 €","7,57 €","17.406,43 €","189,82 €","3.593,18 €"
"Warsaw, Poland","5,91 €","28,35 €","4,72 €","2,36 €","2,36 €","0,99 €","0,80 €","0,63 €","0,76 €","1,86 €","6,61 €","0,50 €","5,91 €","0,78 €","1,14 €","3,90 €","1,04 €","4,27 €","25,99 €","1,19 €","18.568,29 €","616,05 €","467,73 €","1.071,69 €","789,88 €","147,35 €","0,06 €","12,70 €","25,97 €","14,40 €","7,09 €","66,64 €","35,36 €","71,72 €","85,27 €","3.273,89 €","2.125,57 €","979,42 €","4,05 €","1,89 €","0,57 €","9,45 €","0,73 €","1,21 €","0,62 €","0,81 €","2,49 €","0,87 €","1,50 €","1,07 €","0,66 €","9,74 €","18.629,93 €","327,54 €","7.943,07 €"
"Brno, Czech Republic","5,95 €","25,19 €","5,16 €","1,39 €","1,59 €","1,19 €","0,89 €","0,71 €","0,89 €","1,65 €","7,35 €","0,53 €","4,76 €","0,61 €","1,04 €","4,17 €","0,99 €","5,83 €","21,82 €","1,29 €","17.851,84 €","558,68 €","439,63 €","948,79 €","715,40 €","145,16 €","0,13 €","17,58 €","29,98 €","9,08 €","7,62 €","58,75 €","30,91 €","71,83 €","78,65 €","2.739,92 €","2.039,24 €","1.022,13 €","2,74 €","2,38 €","1,19 €","10,71 €","1,19 €","1,34 €","0,75 €","0,83 €","1,88 €","1,42 €","2,01 €","1,20 €","0,71 €","9,85 €","19.466,46 €","332,95 €","5.549,50 €"
